Chi-squared,1.798690680590242,
Parameter,Value,Error
bg_a,3.3030156492680183,0.7356232127230741
bg_b,-0.12315871677295627,0.8298384482508325
bg_c,0.04873286831644639,0.16672078515854669
center_1,2.205678805707867,0.023350519069587076
area_1,8.874968259261987,2.3132566212787204
FWHM_1,0.1692704030910397,0.03614081012159523
center_2,2.398081466989577,0.034152842356608135
area_2,4.792202057167395,2.8474295450673894
FWHM_2,0.15811413266023533,0.08306127710055049
center_3,2.7385399638432593,0.012854589358987298
area_3,29.055381871288386,2.1132327193334914
FWHM_3,0.3298179510246461,0.02634848160525276

x_data,y_data,yerr_data,x_fit,y_fit,y_bg,gaussian_1,gaussian_2,gaussian_3
0.0,3.0,1.732050808,0.0,3.3030156492680183,3.3030156492680183,1.7379510202245676e-203,2.947360463017885e-276,7.985257342486111e-82
0.05,5.0,2.236067977,0.0049504950495049506,3.3024071469662877,3.3024071469662877,1.434717864039454e-202,4.091140794880067e-275,1.5927741255321977e-81
0.1,2.0,1.414213562,0.009900990099009901,3.301801033296471,3.301801033296471,1.1787877986268562e-201,5.648001683943297e-274,3.173049932302079e-81
0.15,6.0,2.449489743,0.01485148514851485,3.3011973082585695,3.3011973082585695,9.639286996312605e-201,7.755046898952803e-273,6.313309201438214e-81
0.2,2.0,1.414213562,0.019801980198019802,3.300595971852581,3.300595971852581,7.845025201040063e-200,1.0590421829741425e-271,1.2545692904751694e-80
0.25,8.0,2.828427125,0.024752475247524754,3.299997024078508,3.299997024078508,6.354537224201409e-199,1.438405412740743e-270,2.4899446005765035e-80
0.3,6.0,2.449489743,0.0297029702970297,3.299400464936349,3.299400464936349,5.1228739040059335e-198,1.9430705867412577e-269,4.93562500161703e-80
0.35,6.0,2.449489743,0.034653465346534656,3.2988062944261043,3.2988062944261043,4.110394986471505e-197,2.6105683358190993e-268,9.771293664727193e-80
0.4,4.0,2.0,0.039603960396039604,3.298214512547774,3.298214512547774,3.2824158514438433e-196,3.4883557897364696e-267,1.9320546871890334e-79
0.45,3.0,1.732050808,0.04455445544554455,3.297625119301358,3.297625119301358,2.6088180961827776e-195,4.636024269036306e-266,3.8154362675374335e-79
0.5,1.0,1.0,0.04950495049504951,3.2970381146868566,3.2970381146868566,2.063641002854803e-194,6.127874286273931e-265,7.52534528174091e-79
0.55,8.0,2.828427125,0.054455445544554455,3.296453498704269,3.296453498704269,1.6246680930205565e-193,8.055884163662751e-264,1.4824023612886282e-78
0.6,2.0,1.414213562,0.0594059405940594,3.295871271353596,3.295871271353596,1.2730202365339693e-192,1.0533090068379665e-262,2.916508215296371e-78
0.65,7.0,2.645751311,0.06435643564356436,3.2952914326348375,3.2952914326348375,9.92764220107228e-192,1.3697383086013933e-261,5.730832950375908e-78
0.7,5.0,2.236067977,0.06930693069306931,3.2947139825479934,3.2947139825479934,7.70543353256811e-191,1.7715712588869104e-260,1.1246819717460227e-77
0.75,10.0,3.16227766,0.07425742574257425,3.2941389210930634,3.2941389210930634,5.952346349577102e-190,2.2788664197653873e-259,2.204444438008977e-77
0.8,3.0,1.732050808,0.07920792079207921,3.293566248270048,3.293566248270048,4.576352420122571e-189,2.9155354827022684e-258,4.315449310957526e-77
0.85,1.0,1.0,0.08415841584158416,3.292995964078947,3.292995964078947,3.501796325554846e-188,3.7098556612982515e-257,8.437432696896672e-77
0.9,7.0,2.645751311,0.0891089108910891,3.2924280685197598,3.2924280685197598,2.666873750454531e-187,4.6949926199149454e-256,1.647601059636792e-76
0.95,3.0,1.732050808,0.09405940594059406,3.2918625615924872,3.2918625615924872,2.021408947683368e-186,5.909517652372956e-255,3.213299768576866e-76
1.0,1.0,1.0,0.09900990099009901,3.2912994432971288,3.2912994432971288,1.524916500572882e-185,7.397898593533165e-254,6.25904194618689e-76
1.05,3.0,1.732050808,0.10396039603960396,3.290738713633685,3.290738713633685,1.1449277900384391e-184,9.210939567786735e-253,1.2176484508144384e-75
1.1,5.0,2.236067977,0.10891089108910891,3.2901803726021557,3.2901803726021557,8.555596277849962e-184,1.1406140352549994e-251,2.3658838418943534e-75
1.15,3.0,1.732050808,0.11386138613861387,3.2896244202025406,3.2896244202025406,6.3630102362721775e-183,1.404794211167674e-250,4.591159228317026e-75
1.2,6.0,2.449489743,0.1188118811881188,3.28907085643484,3.28907085643484,4.709937172090609e-182,1.720782282929748e-249,8.898334573227185e-75
1.25,9.0,3.0,0.12376237623762376,3.288519681299053,3.288519681299053,3.4698264954387737e-181,2.096420328280552e-248,1.7224734883109847e-74
1.3,5.0,2.236067977,0.12871287128712872,3.287970894795181,3.287970894795181,2.5441373685932498e-180,2.5402123193947732e-247,3.330073356231607e-74
1.35,4.0,2.0,0.13366336633663367,3.287424496923223,3.287424496923223,1.856579317293896e-179,3.061264765618796e-246,6.430022518975498e-74
1.4,2.0,1.414213562,0.13861386138613863,3.28688048768318,3.28688048768318,1.3484244294018593e-178,3.6691966406892795e-245,1.2400198191790345e-73
1.45,3.0,1.732050808,0.14356435643564355,3.2863388670750506,3.2863388670750506,9.74719981452028e-178,4.3740153305516505e-244,2.3883732495662564e-73
1.5,7.0,2.645751311,0.1485148514851485,3.285799635098836,3.285799635098836,7.012506536478213e-177,5.18595607346222e-243,4.594446611344003e-73
1.55,8.0,2.828427125,0.15346534653465346,3.2852627917545356,3.2852627917545356,5.021192160517773e-176,6.115283369791434e-242,8.827173430404313e-73
1.6,7.0,2.645751311,0.15841584158415842,3.284728337042149,3.284728337042149,3.5783313893671145e-175,7.172054115618235e-241,1.693821139373425e-72
1.65,7.0,2.645751311,0.16336633663366337,3.2841962709616777,3.2841962709616777,2.5380164179408478e-174,8.365843746804739e-240,3.246167139496539e-72
1.7,8.0,2.828427125,0.16831683168316833,3.28366659351312,3.28366659351312,1.7916305085015104e-173,9.70543843561163e-239,6.213433358878723e-72
1.75,10.0,3.16227766,0.17326732673267328,3.2831393046964776,3.2831393046964776,1.2587591026960835e-172,1.1198498308014534e-237,1.1878178613426623e-71
1.8,7.000000031,2.645751317,0.1782178217821782,3.2826144045117487,3.2826144045117487,8.801910579936882e-172,1.2851198675137056e-236,2.267908336731166e-71
1.85,9.000002553,3.000000426,0.18316831683168316,3.2820918929589347,3.2820918929589347,6.125639480720594e-171,1.4667858307065589e-235,4.324725853838113e-71
1.9,2.000194265,1.414282244,0.18811881188118812,3.2815717700380347,3.2815717700380347,4.242931957669165e-170,1.6650565716874445e-234,8.236621455617618e-71
1.95,10.00854801,3.163628931,0.19306930693069307,3.2810540357490487,3.2810540357490487,2.9249662157354565e-169,1.879881615064226e-233,1.56674050090022e-70
2.0,10.19358898,3.192740042,0.19801980198019803,3.2805386900919773,3.2805386900919773,2.0068540730243185e-168,2.1109173374125013e-232,2.976476601567421e-70
2.05,6.205302769,2.491044514,0.20297029702970298,3.2800257330668203,3.2800257330668203,1.3704111617621798e-167,2.3574971288076408e-231,5.647618011528885e-70
2.1,22.5842351,4.752287354,0.2079207920792079,3.279515164673578,3.279515164673578,9.313783387253622e-167,2.6186070780627596e-230,1.0702508847900879e-69
2.15,37.07320865,6.088777271,0.21287128712871287,3.2790069849122494,3.2790069849122494,6.300014256502465e-166,2.8928686943616922e-229,2.0256449033113606e-69
2.2,53.87409192,7.339897269,0.21782178217821782,3.278501193782836,3.278501193782836,4.241281363910545e-165,3.178530077113411e-228,3.8291155744126515e-69
