Parameter,Value,Error,,x_data,y_data,yerr_data,x_fit,y_fit,y_bg,gaussian_1,gaussian_2,gaussian_3
Chi-squared,1.5151109099891067,,,-0.4,40.07746039,6.33067614,-0.4,35.90272880329253,30.598505413538785,35.90272880067902,30.598505416152296,30.598505413538785
bg_a,32.70476001294041,3.9588253917717267,,-0.35,64.33126395,8.020677275,-0.39504587155963306,36.56540688800246,30.62855526395817,36.56540688451621,30.62855526744442,30.62855526395817
bg_b,4.4556227617585344,2.540838653465018,,-0.3,74.91759645,8.655495159,-0.3900917431192661,37.294058486734265,30.658505711967976,37.294058482091984,30.658505716610257,30.658505711967976
bg_c,-2.025034341863832,0.38036243704102773,,-0.25,110.6322169,10.51818506,-0.3851376146788991,38.09437102007815,30.688356757568208,38.09437101390733,30.68835676373903,30.688356757568208
center_1,-0.002353129592153133,0.004383262685907071,,-0.2,189.2249305,13.75590529,-0.38018348623853215,38.97237524048049,30.718108400758865,38.9723752322922,30.718108408947145,30.718108400758865
area_1,165.90538464360475,5.243893489752019,,-0.15,292.973813,17.11647782,-0.3752293577981652,39.934449098374074,30.74776064153994,39.934449087527796,30.74776065238622,30.74776064153994
FWHM_1,0.31039756379272293,0.00996947096465762,,-0.1,415.6797794,20.38822649,-0.3702752293577982,40.98731946626899,30.77731347991145,40.98731945192708,30.777313494253363,30.77731347991145
center_2,0.41649458685627433,0.024300239518504612,,-0.05,508.0503184,22.53997157,-0.36532110091743125,42.138061460237495,30.80676691587337,42.13806144130656,30.806766934804312,30.80676691587337
area_2,17.078750024279515,3.1773752179813863,,0.0,536.0049915,23.1517816,-0.3603669724770643,43.3940950936515,30.836120949425727,43.39409506870695,30.836120974370267,30.836120949425727
FWHM_2,0.2785877682972241,0.05120333918416122,,0.05,497.5950362,22.30683833,-0.3554128440366973,44.763178996096755,30.865375580568497,44.76317896328592,30.865375613379342,30.865375580568497
center_3,1.015943789851493,0.021234248180247488,,0.1,410.9839784,20.27273978,-0.35045871559633035,46.25340093141449,30.8945308093017,46.25340088833231,30.894530852383873,30.8945308093017
area_3,8.18023065257364,1.811379317334388,,0.15,302.002894,17.37823046,-0.3455045871559634,47.87316485312249,30.92358663562532,47.87316479665268,30.923586692095128,30.92358663562532
FWHM_3,0.24084486715584003,0.05234126645381802,,0.2,191.9551359,13.85478747,-0.3405504587155964,49.63117424334432,30.952543059539366,49.6311741694564,30.952543133427284,30.952543059539366
,,,,0.25,131.1429766,11.4517674,-0.33559633027522945,51.53641149310296,30.981400081043834,51.5364113965937,30.981400177553095,30.981400081043834
,,,,0.3,102.2722274,10.11297322,-0.3306422018348625,53.5981130976683,31.01015770013873,53.598112971832855,31.010157825974165,31.01015770013873
,,,,0.35,106.6400242,10.32666569,-0.3256880733944955,55.825740460800176,31.038815916824046,55.8257402970147,31.03881608060951,31.038815916824046
,,,,0.4,93.07805887,9.647697076,-0.32073394495412855,58.2289461263779,31.067374731099786,58.228945913570755,31.06737494390693,31.067374731099786
,,,,0.45,92.70156875,9.628165388,-0.3157798165137616,60.81753528517618,31.095834142965952,60.81753500915941,31.095834418982715,31.095834142965952
,,,,0.5,80.14824565,8.952555258,-0.3108256880733946,63.60142243851183,31.12419415242254,63.60142208113766,31.124194509796702,31.12419415242254
,,,,0.55,59.39111981,7.706563424,-0.30587155963302765,66.59058313914893,31.152454759469553,66.59058267724753,31.152455221370946,31.152454759469553
,,,,0.6,51.9918356,7.210536429,-0.3009174311926607,69.79500077315554,31.180615964106988,69.79500017720005,31.18061656006247,31.180615964106988
,,,,0.65,48.04378479,6.931362405,-0.2959633027522937,73.2246083942167,31.208677766334848,73.2246076266488,31.208678533902738,31.208677766334848
,,,,0.7,42.81917234,6.543636018,-0.29100917431192674,76.88922567401303,31.23664016615313,76.889224687147,31.23664115301917,31.23664016615313
,,,,0.75,34.88926003,5.906713133,-0.2860550458715598,80.79849108837541,31.26450316356184,80.79848982177961,31.264504430157643,31.26450316356184
,,,,0.8,45.03124148,6.710532131,-0.2811009174311928,84.96178951864215,31.29226675856097,84.96178789587462,31.292268381328505,31.29226675856097
,,,,0.85,48.01826351,6.92952116,-0.27614678899082584,89.38817551050425,31.31993095115053,89.38817343505076,31.319933026604023,31.31993095115053
,,,,0.9,48.72699857,6.980472661,-0.2711926605504589,94.08629249807248,31.347495741330505,94.08628984830277,31.347498391100217,31.347495741330505
,,,,0.95,60.09604257,7.752163735,-0.2662385321100919,99.06428836829026,31.37496112910091,99.06428499120763,31.374964506183538,31.37496112910091
,,,,1.0,62.02000004,7.875277775,-0.26128440366972494,104.32972780942507,31.402327114461734,104.32972351293638,31.402331410950403,31.402327114461734
,,,,1.05,70.60004141,8.402383079,-0.256330275229358,109.88950195639288,31.429593697412987,109.88949649976817,31.429599154037685,31.429593697412987
,,,,1.1,56.73497325,7.53226216,-0.251376146788991,115.74973591422412,31.456760877954657,115.74972899634568,31.456767795833116,31.456760877954657
,,,,1.15,59.52985171,7.715559066,-0.24642201834862404,121.91569480813338,31.483828656086754,121.91568605305176,31.483837411168384,31.483828656086754
,,,,1.2,35.04224783,5.919649299,-0.24146788990825707,128.39168907340596,31.51079703180928,128.39167801262218,31.51080809259302,31.51079703180928
,,,,1.25,33.36410801,5.776167243,-0.2365137614678901,135.18097975963232,31.537666005122222,135.1809658104088,31.53767995434571,31.537666005122222
,,,,1.3,27.53874779,5.247737397,-0.23155963302752314,142.28568468064142,31.56443557602559,142.285667119506,31.564453137161042,31.56443557602559
,,,,1.35,42.04117884,6.483916936,-0.22660550458715617,149.70668629272632,31.591105744519385,149.70666422317103,31.591127814074685,31.591105744519385
,,,,1.4,28.28365562,5.318238019,-0.2216513761467892,157.44354222835096,31.6176765106036,157.44351454153582,31.61770419741876,31.6176765106036
,,,,1.45,29.86017874,5.464446791,-0.21669724770642224,165.49439944941759,31.644147874278243,165.49436477646304,31.64418254723274,31.644147874278243
