Fitting Parameters
parameter,value,error
Constant,4.421856541806459,0.91604806901432
Linear,0.7461896248840253,0.9727858988542596
Quadratic,-0.1023745917775572,0.188974003322834
Gaussian 1 Amplitude,30.866020442529777,4.229247657700824
Gaussian 1 Center,2.1978167776657043,0.006047028585141731
Gaussian 1 FWHM,0.11978717671901323,0.018321003686746225
Gaussian 2 Amplitude,28.060128420360602,2.3378985938952357
Gaussian 2 Center,2.352895866020702,0.03219155625542282
Gaussian 2 FWHM,0.3832079174072257,0.05071531304191228
Gaussian 3 Amplitude,80.00846158395092,2.0944210344404817
Gaussian 3 Center,2.7524160898955814,0.006362997925566247
Gaussian 3 FWHM,0.29567153715626254,0.012417919942065215

Fitted Curves
x_data,y_data,y_error,combined_fit,background_fit,gaussian_1_fit,gaussian_2_fit,gaussian_3_fit
2.5,31.89844578,5.647870907,34.90245352275616,5.64748940540679,6.708723070141922e-07,18.648763664162274,10.606199782314793
2.55,41.04124198,6.406343886,40.951000558631065,5.658949302227158,1.205096304200392e-09,13.475003640052003,21.81704761514681
2.6,52.54084057,7.248506092,52.826293920960424,5.669897326088638,8.237955841574008e-13,8.859495008470565,38.296901586400395
2.65,69.99326976,8.366198047,68.34759410544001,5.680333476991231,2.1430533381000616e-16,5.300175802327062,57.36708482612171
2.7,83.36008923,9.130174655,81.90741635987278,5.690257754934936,2.1215941849880598e-20,2.885179334651331,73.33197927028652
2.75,84.02256468,9.166382312,87.12240074150694,5.699670159919753,7.99295684229155e-25,1.4290801316219863,79.9936504499652
2.8,80.21047282,8.95602997,80.81712422664069,5.708570691945681,1.1459572991126327e-29,0.6440826201591306,74.46447091453588
2.85,67.22893446,8.199325244,65.13374247979709,5.716959351012724,6.252377878301265e-35,0.2641361297395349,59.15264699904483
2.9,46.67575054,6.83196535,45.92214090578161,5.724836137120876,1.2981886745317982e-40,0.09856330786153682,40.0987414607992
2.95,29.03586145,5.38849343,28.961970640114945,5.732201050270143,1.0257611104519727e-46,0.03346601190584811,23.196303577938956
3.0,14.22095473,3.771068115,17.20025883323235,5.73905409046052,3.0843983270333538e-53,0.010339365373330906,11.450865377398499
3.05,11.34652743,3.368460692,10.572102122171092,5.74539525769201,3.5294781984546645e-60,0.0029065984314631207,4.823800266047618
3.1,7.012610231,2.648133348,7.486058743836149,5.751224551964613,1.5369734442142298e-67,0.0007434939134910878,1.7340906979580446
3.15,8.651881663,2.941408109,6.288683359567661,5.756541973278328,2.547053337598001e-75,0.00017304977179837018,0.5319683365175346
3.2,6.18167663,2.486297776,5.900645726249112,5.761347521633155,1.6062958259873505e-83,3.664931610356063e-05,0.13926155529985362
3.25,8.04356629,2.836118173,5.7967588449185055,5.765641197029094,3.855039546749591e-92,7.062556732136804e-06,0.03111058533267907
3.3,1.008989247,1.004484568,5.775355083304979,5.769422999466144,3.520853541296669e-101,1.2383951845957934e-06,0.005930845443649998
3.35,2.001595942,1.414777701,5.773657969228355,5.772692928944308,1.2237223658787595e-110,1.9758673753510915e-07,0.0009648426973091604
3.4,8.000243799,2.828470222,5.775584959580023,5.775450985463584,1.618578066692145e-120,2.8685178505850527e-08,0.00013394543126068803
3.45,4.000032046,2.000008011,5.7777130411270194,5.7776971690239725,8.147046963578559e-131,3.789296195510983e-09,1.586831375103956e-05
3.5,2.000003624,1.414214844,5.779433084305412,5.779431479625472,1.5605676652089633e-141,4.5547105342487314e-10,1.6042244680129736e-06
3.55,2.000000353,1.414213687,5.780654055716271,5.780653917268085,1.1375770032907096e-152,4.9815470862363155e-11,1.3839837038623393e-07
3.6,1.00000003,1.000000015,5.78136449214569,5.781364481951809,3.155693529519144e-164,4.95757083842288e-12,1.01889234655576e-08
3.65,7.000000002,2.645751311,5.781563174317207,5.781563173676645,3.3313836520899635e-176,4.489260922631064e-13,6.401136773139152e-10
3.7,10.0,3.16227766,5.781249992476949,5.781249992442595,1.3383518284978643e-188,3.698980127079358e-14,3.4317638644093785e-11
3.75,10.0,3.16227766,5.780424938251229,5.780424938249656,2.04612310037364e-201,2.7732586658273343e-15,1.5700344076884578e-12
3.8,1.0,1.0,5.77908801109789,5.779088011097829,1.1904441794477098e-214,1.8919078971601962e-16,6.129604121636537e-14
